"","polviews","race"
"4207","Moderate","White"
"4208","Moderate","White"
"4209","Moderate","White"
"4210","Moderate","White"
"4211","Moderate","White"
"4212","Conservative","White"
"4213","Moderate","White"
"4214","Conservative","White"
"4215","Conservative","White"
"4216","Conservative","White"
"4217","Liberal","White"
"4218","Moderate","White"
"4219","Moderate","White"
"4220","Moderate","White"
"4221","Slightly Liberal","White"
"4222","Slightly Liberal","White"
"4223","Liberal","White"
"4224","Conservative","White"
"4225","Slightly Conservative","White"
"4226","Conservative","White"
"4227","Moderate","White"
"4228","Conservative","White"
"4229","Moderate","White"
"4230","Slightly Conservative","White"
"4231","Slightly Liberal","White"
"4232","Liberal","Black"
"4233","Moderate","White"
"4234","Slightly Liberal","Black"
"4235","Liberal","Black"
"4236","Liberal","Black"
"4237","Conservative","White"
"4238","Conservative","White"
"4239","Liberal","White"
"4240","Liberal","White"
"4241","Liberal","White"
"4242","Slightly Conservative","White"
"4243","Slightly Liberal","White"
"4244","Moderate","White"
"4245","Conservative","White"
"4246","Moderate","White"
"4247","Slightly Liberal","White"
"4248","Moderate","White"
"4249","Slightly Liberal","White"
"4250","Slightly Liberal","White"
"4251","Slightly Liberal","Black"
"4252","Moderate","White"
"4253","Moderate","White"
"4254","Moderate","White"
"4255","Slightly Conservative","White"
"4256","Slightly Conservative","White"
"4257","Liberal","White"
"4258","Slightly Liberal","White"
"4259","Moderate","White"
"4260","Slightly Liberal","White"
"4261","Extremely Liberal","White"
"4262","Moderate","White"
"4263","Slightly Liberal","White"
"4264","Conservative","White"
"4265","Liberal","White"
"4266","Moderate","White"
"4267","Liberal","White"
"4268","Liberal","White"
"4269","Moderate","White"
"4270","Slightly Liberal","White"
"4271","Moderate","White"
"4272","Moderate","White"
"4273","Slightly Conservative","White"
"4274","Moderate","White"
"4275","Extrmly Conservative","White"
"4276","Slightly Conservative","White"
"4277","Moderate","White"
"4278","Slightly Conservative","White"
"4279","Liberal","White"
"4280","Slightly Conservative","White"
"4281","Moderate","White"
"4282","Slightly Liberal","White"
"4283","Slightly Liberal","White"
"4284","Liberal","White"
"4285","Slightly Liberal","White"
"4286","Moderate","White"
"4287","Slightly Liberal","White"
"4288","Slightly Conservative","White"
"4289","Moderate","White"
"4290","Moderate","White"
"4291","Slightly Liberal","White"
"4292","Moderate","White"
"4293","Slightly Conservative","White"
"4294","Extremely Liberal","White"
"4295","Conservative","White"
"4296","Slightly Conservative","White"
"4297","Liberal","White"
"4298","Slightly Conservative","White"
"4299","Liberal","White"
"4300","Conservative","White"
"4301","Moderate","White"
"4302","Liberal","White"
"4303","Slightly Liberal","White"
"4304","Liberal","White"
"4305","Extremely Liberal","White"
"4306","Conservative","White"
"4307","Moderate","White"
"4308","Moderate","White"
"4309","Slightly Liberal","White"
"4310","Conservative","White"
"4311","Moderate","White"
"4312","Conservative","Black"
"4313","Slightly Conservative","Black"
"4314","Liberal","Black"
"4315","Liberal","Black"
"4316","Slightly Liberal","Black"
"4317","Slightly Conservative","White"
"4318","Moderate","White"
"4319","Moderate","White"
"4320","Moderate","White"
"4321","Liberal","White"
"4322","Slightly Conservative","White"
"4323","Slightly Conservative","White"
"4324","Slightly Conservative","White"
"4325","Moderate","White"
"4326","Liberal","White"
"4327","Slightly Liberal","White"
"4328","Slightly Liberal","White"
"4329","Conservative","White"
"4331","Slightly Conservative","White"
"4332","Moderate","White"
"4333","Extrmly Conservative","White"
"4334","Moderate","White"
"4335","Slightly Liberal","White"
"4336","Slightly Conservative","White"
"4337","Conservative","White"
"4338","Moderate","White"
"4339","Moderate","White"
"4340","Moderate","White"
"4341","Moderate","White"
"4342","Slightly Conservative","White"
"4343","Moderate","White"
"4344","Moderate","White"
"4345","Moderate","White"
"4346","Slightly Conservative","White"
"4347","Conservative","White"
"4348","Moderate","White"
"4349","Moderate","White"
"4350","Liberal","White"
"4351","Moderate","White"
"4352","Slightly Conservative","White"
"4353","Moderate","White"
"4354","Conservative","White"
"4355","Conservative","White"
"4356","Liberal","White"
"4357","Slightly Liberal","White"
"4358","Liberal","White"
"4359","Slightly Liberal","White"
"4360","Slightly Liberal","White"
"4361","Moderate","White"
"4362","Liberal","White"
"4363","Moderate","White"
"4364","Conservative","White"
"4365","Conservative","White"
"4366","Slightly Conservative","White"
"4367","Moderate","White"
"4368","Moderate","White"
"4369","Moderate","White"
"4370","Conservative","White"
"4371","Slightly Liberal","White"
"4372","Liberal","White"
"4373","Slightly Conservative","White"
"4374","Moderate","White"
"4375","Conservative","White"
"4376","Moderate","White"
"4377","Extrmly Conservative","White"
"4378","Conservative","White"
"4379","Conservative","White"
"4380","Moderate","White"
"4381","Slightly Conservative","White"
"4382","Moderate","White"
"4383","Moderate","White"
"4384","Moderate","White"
"4385","Liberal","White"
"4386","Slightly Conservative","White"
"4387","Liberal","White"
"4388","Liberal","White"
"4389","Conservative","White"
"4390","Moderate","White"
"4391","Moderate","White"
"4392","Moderate","White"
"4393","Moderate","White"
"4394","Moderate","White"
"4395","Slightly Liberal","White"
"4396","Extremely Liberal","White"
"4397","Moderate","White"
"4398","Moderate","White"
"4399","Moderate","White"
"4400","Moderate","White"
"4401","Moderate","White"
"4402","Moderate","White"
"4403","Slightly Conservative","White"
"4404","Moderate","White"
"4405","Slightly Conservative","White"
"4406","Conservative","White"
"4407","Moderate","White"
"4408","Slightly Liberal","White"
"4409","Extrmly Conservative","White"
"4410","Moderate","White"
"4411","Moderate","White"
"4412","Moderate","White"
"4413","Slightly Conservative","White"
"4414","Moderate","White"
"4415","Slightly Liberal","White"
"4416","Moderate","White"
"4417","Slightly Liberal","White"
"4418","Moderate","White"
"4419","Slightly Conservative","White"
"4420","Liberal","White"
"4421","Slightly Conservative","White"
"4422","Extrmly Conservative","White"
"4423","Moderate","White"
"4424","Moderate","White"
"4425","Moderate","White"
"4426","Slightly Conservative","White"
"4427","Moderate","White"
"4428","Slightly Conservative","White"
"4429","Slightly Conservative","White"
"4430","Slightly Conservative","White"
"4432","Conservative","White"
"4434","Slightly Liberal","Black"
"4437","Moderate","White"
"4438","Moderate","White"
"4439","Slightly Conservative","White"
"4440","Moderate","White"
"4441","Moderate","Black"
"4442","Liberal","White"
"4444","Moderate","White"
"4445","Moderate","Black"
"4446","Liberal","Black"
"4447","Slightly Conservative","White"
"4448","Moderate","White"
"4449","Moderate","White"
"4450","Conservative","White"
"4451","Slightly Conservative","White"
"4453","Extrmly Conservative","White"
"4454","Slightly Conservative","White"
"4455","Slightly Conservative","White"
"4456","Slightly Liberal","White"
"4457","Slightly Liberal","White"
"4458","Moderate","White"
"4459","Liberal","White"
"4460","Moderate","White"
"4461","Moderate","White"
"4462","Moderate","White"
"4463","Conservative","White"
"4464","Extrmly Conservative","White"
"4465","Conservative","White"
"4466","Conservative","White"
"4467","Liberal","White"
"4468","Slightly Liberal","White"
"4469","Slightly Conservative","White"
"4470","Slightly Conservative","White"
"4471","Conservative","White"
"4472","Moderate","White"
"4473","Liberal","White"
"4474","Slightly Conservative","White"
"4475","Slightly Liberal","White"
"4476","Conservative","White"
"4477","Extremely Liberal","White"
"4478","Liberal","White"
"4479","Moderate","White"
"4480","Moderate","Black"
"4481","Moderate","White"
"4482","Moderate","White"
"4483","Moderate","White"
"4484","Slightly Conservative","White"
"4485","Moderate","White"
"4486","Moderate","White"
"4487","Moderate","White"
"4488","Moderate","White"
"4489","Moderate","White"
"4490","Moderate","White"
"4491","Slightly Conservative","White"
"4493","Moderate","Black"
"4497","Slightly Liberal","Black"
"4498","Liberal","Black"
"4500","Liberal","White"
"4501","Moderate","Black"
"4502","Slightly Liberal","White"
"4503","Moderate","White"
"4504","Slightly Liberal","White"
"4505","Slightly Liberal","White"
"4506","Moderate","White"
"4507","Conservative","White"
"4509","Moderate","White"
"4510","Slightly Conservative","White"
"4512","Liberal","White"
"4513","Slightly Liberal","White"
"4514","Moderate","White"
"4515","Moderate","White"
"4516","Moderate","White"
"4517","Liberal","White"
"4518","Moderate","White"
"4519","Slightly Liberal","White"
"4520","Moderate","White"
"4521","Moderate","White"
"4522","Slightly Conservative","White"
"4523","Moderate","White"
"4524","Moderate","White"
"4525","Slightly Conservative","White"
"4526","Moderate","White"
"4527","Moderate","White"
"4530","Slightly Conservative","White"
"4531","Slightly Conservative","White"
"4532","Moderate","White"
"4533","Conservative","White"
"4534","Slightly Conservative","Black"
"4535","Moderate","White"
"4536","Moderate","Black"
"4537","Conservative","White"
"4538","Extrmly Conservative","White"
"4539","Conservative","White"
"4540","Moderate","White"
"4541","Conservative","White"
"4542","Slightly Conservative","White"
"4543","Slightly Conservative","White"
"4544","Conservative","White"
"4545","Moderate","White"
"4546","Moderate","White"
"4547","Moderate","White"
"4548","Moderate","White"
"4549","Conservative","White"
"4550","Moderate","White"
"4551","Slightly Liberal","White"
"4552","Moderate","White"
"4553","Extrmly Conservative","White"
"4554","Liberal","White"
"4555","Moderate","White"
"4556","Moderate","White"
"4557","Moderate","White"
"4558","Moderate","White"
"4559","Slightly Liberal","White"
"4561","Slightly Liberal","White"
"4562","Slightly Conservative","White"
"4563","Slightly Conservative","White"
"4564","Slightly Conservative","White"
"4565","Moderate","White"
"4566","Slightly Liberal","White"
"4567","Liberal","White"
"4568","Moderate","White"
"4569","Moderate","White"
"4570","Moderate","White"
"4571","Slightly Conservative","White"
"4572","Slightly Conservative","White"
"4573","Moderate","White"
"4574","Moderate","White"
"4575","Moderate","White"
"4576","Slightly Liberal","White"
"4577","Moderate","White"
"4578","Moderate","White"
"4579","Moderate","White"
"4580","Slightly Conservative","White"
"4581","Slightly Liberal","White"
"4582","Liberal","White"
"4583","Slightly Liberal","White"
"4584","Moderate","White"
"4586","Slightly Conservative","White"
"4587","Moderate","White"
"4588","Conservative","White"
"4589","Moderate","White"
"4590","Slightly Liberal","White"
"4591","Moderate","White"
"4592","Moderate","White"
"4593","Conservative","White"
"4594","Conservative","White"
"4595","Conservative","White"
"4596","Slightly Conservative","White"
"4597","Conservative","White"
"4598","Slightly Liberal","White"
"4599","Conservative","White"
"4600","Slightly Liberal","White"
"4601","Slightly Liberal","White"
"4602","Liberal","White"
"4603","Slightly Conservative","White"
"4605","Extremely Liberal","White"
"4606","Liberal","White"
"4607","Moderate","White"
"4608","Moderate","White"
"4609","Moderate","White"
"4610","Liberal","White"
"4611","Slightly Liberal","White"
"4612","Extremely Liberal","White"
"4613","Moderate","White"
"4614","Liberal","White"
"4615","Liberal","White"
"4616","Slightly Conservative","White"
"4617","Liberal","White"
"4618","Slightly Conservative","White"
"4619","Conservative","White"
"4620","Slightly Liberal","White"
"4621","Conservative","White"
"4622","Moderate","White"
"4623","Moderate","White"
"4624","Moderate","White"
"4625","Moderate","White"
"4626","Moderate","White"
"4629","Liberal","White"
"4630","Moderate","White"
"4632","Liberal","White"
"4633","Extremely Liberal","White"
"4634","Moderate","White"
"4636","Slightly Conservative","Black"
"4637","Slightly Conservative","White"
"4638","Liberal","White"
"4639","Moderate","White"
"4640","Moderate","White"
"4641","Slightly Liberal","White"
"4642","Slightly Liberal","White"
"4643","Liberal","Black"
"4644","Moderate","White"
"4645","Extremely Liberal","White"
"4646","Moderate","White"
"4647","Moderate","White"
"4648","Moderate","White"
"4650","Moderate","White"
"4652","Moderate","White"
"4653","Moderate","White"
"4654","Slightly Conservative","White"
"4655","Conservative","White"
"4656","Moderate","White"
"4657","Conservative","White"
"4658","Slightly Liberal","White"
"4659","Slightly Conservative","White"
"4660","Slightly Conservative","White"
"4661","Slightly Liberal","Black"
"4662","Slightly Liberal","White"
"4663","Moderate","Black"
"4664","Slightly Conservative","White"
"4668","Slightly Liberal","White"
"4669","Moderate","White"
"4670","Moderate","White"
"4671","Extrmly Conservative","White"
"4672","Liberal","White"
"4673","Liberal","White"
"4674","Liberal","White"
"4675","Slightly Conservative","White"
"4676","Moderate","White"
"4678","Conservative","White"
"4679","Liberal","White"
"4680","Moderate","White"
"4681","Moderate","White"
"4683","Moderate","White"
"4684","Slightly Conservative","White"
"4685","Moderate","White"
"4686","Slightly Liberal","White"
"4687","Moderate","White"
"4688","Conservative","White"
"4689","Conservative","White"
"4690","Slightly Liberal","White"
"4691","Slightly Liberal","White"
"4692","Moderate","White"
"4693","Moderate","White"
"4694","Moderate","Black"
"4695","Slightly Liberal","Black"
"4696","Slightly Liberal","White"
"4697","Moderate","White"
"4698","Slightly Conservative","White"
"4699","Liberal","White"
"4700","Slightly Conservative","White"
"4701","Extremely Liberal","Black"
"4702","Moderate","Black"
"4703","Extremely Liberal","Black"
"4704","Slightly Conservative","Other"
"4705","Slightly Liberal","White"
